,一级标签,二级标签,药材名,出处,简介,药性,功效,治法,应用,合成,用法用量,使用注意,现代研究,附药
0,解表药,发散风寒药,麻黄,《神农本草经》）,本品为麻黄科植物草麻黄、中麻黄或木贼麻黄的干燥草质茎。主产于山西、河北、甘肃、内蒙古、新疆。秋季采割绿色的草质茎，晒干，除去木质茎、残根及杂质，切段。本品气微香，味涩、微苦。以干燥，茎粗，淡绿色，内心充实，味苦涩者为佳。生用、蜜炙或捣绒用。,辛、微苦，温。归肺、膀胱经。,发汗解表，宣肺平喘，利水消肿。,"发汗解表,宣肺平喘,利水消肿",1.风寒感冒本品味辛发散，性温散寒，主入肺经，善于宣肺气、开腠理、透毛窍而发汗解表，发汗力强，为发汗解表之要药。宜用于风寒外郁，腠理闭密无汗的外感风寒表实证，每与桂枝相须为用，以增强发汗散寒解表之力。因麻黄兼有平喘之功，故对风寒表实而有喘逆咳嗽者，尤为适宜，如麻黄汤（《伤寒论》）。2.胸闷喘咳本品辛散苦泄，温通宣畅，主入肺经，可外开皮毛之郁闭，以使肺气宣畅；内降上逆之气，以复肺司肃降之常，故善平喘，为治疗肺气壅遏所致喘咳胸闷的要药，并常辅以苦杏仁等止咳平喘药。治疗风寒外束，肺气壅遏的喘咳实证，常配伍苦杏仁、甘草，如三拗汤（《和剂局方》）。治疗寒痰停饮，咳嗽气喘，痰多清稀者，常配伍细辛、干姜、半夏等药，如小青龙汤（《伤寒论》）。若肺热壅盛，高热喘急者，每与石膏、杏仁、甘草配用，以清肺平喘，如麻杏甘石汤（《伤寒论》）。3.风水浮肿本品主入肺与膀胱经，上宣肺气、发汗解表，可使肌肤之水湿从毛窍外散，并通调水道、下输膀胱以下助利尿之力，故宜于风邪袭表，肺失宣降的水肿、小便不利兼有表证者，每与甘草同用，如甘草麻黄汤（《金匮要略》）。如再配伍生姜、白术等发汗解表、利水退肿药，则疗效更佳，如《金匮要略》越婢加术汤。此外，取麻黄散寒通滞之功，也可用治风寒湿痹、阴疽痰核。,"麻黄汤,三拗汤,小青龙汤,麻杏甘石汤,甘草麻黄汤",煎服，2～10g。本品发汗解表宜生用，且不宜久煎；蜜麻黄润肺止咳，多用于表证已解、气喘咳嗽；捣绒后作用较为缓和，小儿、老人及体虚者宜用麻黄绒。,本品发汗宣肺力强，凡表虚自汗、阴虚盗汗及肺肾虚喘者均当慎用。又本品对中枢神经系统有明显兴奋作用，并可使血压上升，故失眠及高血压患者慎用，运动员禁用。,麻黄水煎剂、麻黄水溶性提取物、麻黄挥发油、麻黄碱、1-甲基麻黄碱等均有发汗作用。麻黄碱、伪麻黄碱、麻黄挥发油是其平喘的有效成分。麻黄的多种成分均具有利尿作用，以d-伪麻黄碱作用最显著。麻黄挥发油对多种实验性发热模型动物有解热效应。麻黄的多种成分均有抗炎作用。麻黄挥发油对亚甲型流感病毒有明显抑制作用，对金黄色葡萄球菌、溶血性链球菌、流感嗜血杆菌、肺炎双球菌等均有不同程度的抑制作用。麻黄碱、麻黄水提取物有镇咳作用，麻黄挥发油有一定的祛痰作用。麻黄碱有兴奋中枢神经系统、强心、升高血压、抑制肠平滑肌作用。,
1,解表药,发散风寒药,桂枝,《名医别录》）,本品为樟科植物肉桂的干燥嫩枝。主产于广东、广西。春、夏二季采收，除去叶，晒干或切片晒干。本品有特异香气，味甜、微辛，皮部味较浓。以质嫩、色红棕、香气浓者为佳。生用。,辛、甘，温。归心、肺、膀胱经。,发汗解肌，温通经脉，助阳化气，平冲降逆。,"温通经脉,平冲降逆",1.风寒感冒本品辛甘温煦，甘温通阳扶卫，其开腠发汗之力较麻黄温和，而善于宣阳气于卫分，畅营血于肌表，故有助卫实表，发汗解肌，外散风寒之功。对于外感风寒，不论表实无汗、表虚有汗及阳虚受寒者，均宜使用。如治疗外感风寒、表实无汗者，常与麻黄同用，以开宣肺气，发散风寒，如麻黄汤（《伤寒论》）；若外感风寒、表虚有汗者，当与白芍同用，以调和营卫，发汗解肌，如桂枝汤（《伤寒论》）；若素体阳虚、外感风寒者，每与麻黄、附子、细辛配伍，以发散风寒，温助阳气。2.脘腹冷痛、经闭痛经、关节痹痛等寒凝血滞诸痛证本品辛散温通，具有温通经脉，散寒止痛之效，故可用治寒凝血滞诸痛证。如胸阳不振，心脉瘀阻，胸痹心痛者，桂枝能温通心阳，常与枳实、薤白等同用，如枳实薤白桂枝汤（《金匮要略》）；若中焦虚寒，脘腹冷痛，桂枝能温中散寒止痛，每与白芍、饴糖等同用，如小建中汤（《金匮要略》）；若妇女寒凝血滞，月经不调，经闭痛经，产后腹痛，桂枝既能温散血中之寒凝，又可宣异活血药物，以增强化瘀止痛之效，多与当归、吴茱萸等同用，如温经汤（《金匮要略》）；若风寒湿痹，关节疼痛，可与附子同用，以祛风散寒、通痹止痛，如桂枝附子汤（《伤寒论》）。3.痰饮，水肿本品甘温，既可温扶脾阳以助运水，又可温肾阳、逐寒邪以助膀胱气化，而行水湿痰饮之邪，为治疗痰饮病、水肿的常用药。如脾阳不运，水湿内停所致的痰饮病眩晕、心悸、咳嗽者，常与茯苓、白术等同用，如苓桂术甘汤（《金匮要略》）；若膀胱气化不行，水肿、小便不利之蓄水证，每与茯苓、猪苓、泽泻等同用，如五苓散（《伤寒论》）。4.心悸，奔豚本品辛甘性温，能助心阳，通血脉，止悸动。如心阳不振，不能宣通血脉，而见心悸动、脉结代者，每与甘草、人参、麦冬等同用，如炙甘草汤（《伤寒论》）。若阴寒内盛，引动下焦冲气，上凌心胸所致奔豚者，常重用本品以助阳化气、平冲降逆，如桂枝加桂汤。,"麻黄汤,桂枝汤,小建中汤,温经汤,桂枝附子汤,苓桂术甘汤,五苓散,炙甘草汤",煎服，3～10g。,本品辛温助热，易伤阴动血，凡外感热病、阴虚火旺、血热妄行等证，均当忌用。孕妇及月经过多者慎用。,本品所含桂皮油能扩张血管，改善血液循环，促使血液流向体表，从而有利于发汗和散热。桂枝煎剂、桂皮醛有解热、降温作用。桂枝醇提取物对金黄色葡萄球菌、大肠杆菌、肺炎球菌、炭疽杆菌、霍乱弧菌、流感病毒等均有抑制作用。桂皮油、桂皮醛对结核杆菌、变形杆菌有抑制作用。桂皮醛能促进胃肠平滑肌蠕动、增强消化机能，并有利胆作用。此外，桂枝有镇痛、抗炎、抗过敏、增加冠脉血流量、改善心功能、镇静、抗惊厥、抗肿瘤等作用。,
2,解表药,发散风寒药,紫苏叶,《名医别录》）,本品为唇形科植物紫苏的干燥叶或带嫩枝。主产于江苏、浙江、河北。夏季枝叶茂盛时采收。除去杂质，晒干，切碎。本品气清香，味微辛。以色紫、香气浓者为佳。生用。,辛，温。归肺、脾经。,解表散寒，行气和胃。,行气和胃,1.风寒感冒，咳嗽呕恶本品辛散性温，发汗解表散寒之力较为缓和，轻证可以单用，重证须与其他发散风寒药合用。因其外能解表散寒，内能行气和胃，且略兼化痰止咳之功，故风寒表证而兼气滞，胸脘满闷、恶心呕逆，或咳嗽痰多者，较为适宜。治疗前者，常配伍香附、陈皮等药，如香苏散（《太平惠民和剂局方》）。治疗后者，每与杏仁、桔梗等药同用，如杏苏散（《温病条辨》）。2.脾胃气滞，妊娠呕吐本品味辛能行，能行气以宽中除胀，和胃止呕，兼有理气安胎之功，可用治中焦气机郁滞之胸脘胀满，恶心呕吐。偏寒者，常与砂仁、丁香等温中止呕药同用；偏热者，常与黄连、芦根等清胃止呕药同用；若妊娠胎气上逆，胸闷呕吐，胎动不安者，常与砂仁、陈皮等理气安胎药配伍。用治七情郁结，痰凝气滞之梅核气证，常与半夏、厚朴、茯苓等同用，如半夏厚朴汤（《金匮要略》）。3.鱼蟹中毒紫苏叶能解鱼蟹毒，对于进食鱼蟹中毒而致腹痛吐泻者，能和中解毒。可单用本品煎汤服，或配伍生姜、陈皮、藿香等药。,"香苏散,杏苏散,半夏厚朴汤",煎服，5～10g，不宜久煎。,,紫苏叶煎剂有缓和的解热作用；有促进消化液分泌，增进胃肠蠕动的作用；能减少支气管分泌，缓解支气管痉挛。本品水煎剂对大肠杆菌、痢疾杆菌、葡萄球菌均有抑制作用。能缩短血凝时间、血浆复钙时间和凝血活酶时间。紫苏油可使血糖上升。,附药：紫苏梗本品为唇形科植物紫苏Perillafrutescens（L.）Britt.的干燥茎。性味辛，温；归肺、脾经。功能理气宽中，止痛，安胎。适用于胸膈痞闷，胃脘疼痛，嗳气呕吐，胎动不安。煎服，5～10g。
3,解表药,发散风寒药,生姜,《名医别录》）,本品为姜科植物姜的新鲜根茎。主产于四川、贵州、湖北、广东、广西。秋冬二季采挖，除去须根和泥沙。本品气香特异，味辛辣。以质嫩者为佳。切厚片，生用。,辛，微温。归肺、脾、胃经。,解表散寒，温中止呕，化痰止咳，解鱼蟹毒。,化痰止咳,1.风寒感冒本品辛散温通，能发汗解表，祛风散寒，但作用较弱，故适用于风寒感冒轻证，可单煎或配红糖、葱白煎服。本品更多是作为辅助之品，与桂枝、羌活等辛温解表药同用，以增强发汗解表之力。2.脾胃寒证本品辛散温通，能温中散寒，对寒犯中焦或脾胃虚寒之胃脘冷痛、食少、呕吐者，可收祛寒开胃、止痛止呕之效，宜与高良姜、胡椒等温里药同用。若脾胃气虚者，宜与人参、白术等补脾益气药同用。3.胃寒呕吐本品辛散温通，能温胃散寒，和中降逆，其止呕功良，素有“呕家圣药”之称，随证配伍可治疗多种呕吐。因其本为温胃之品，故对胃寒呕吐最为适合，可配伍高良姜、白豆蔻等温胃止呕药。若痰饮呕吐者，常配伍半夏，即小半夏汤（《金匮要略》）；若胃热呕吐者，可配黄连、竹茹、枇杷叶等清胃止呕药。某些止呕药用姜汁制过，能增强止呕作用，如姜半夏、姜竹茹等。4.寒痰咳嗽本品辛温发散，能温肺散寒、化痰止咳，对于肺寒咳嗽，不论有无外感风寒，或痰多痰少，皆可选用。治疗风寒客肺，痰多咳嗽，恶寒头痛者，每与麻黄、杏仁同用，如三拗汤（《和剂局方》）。外无表邪而咳嗽痰多色白者，常与陈皮、半夏等药同用，如二陈汤（《和剂局方》）。5.鱼蟹中毒本品能解鱼蟹毒及半夏、天南星的毒性，故对鱼蟹等食物中毒，以及生半夏、生南星等药物之毒，均有一定的解毒作用。,"三拗汤,二陈汤",煎服，3～10g。,本品助火伤阴，故热盛及阴虚内热者忌服。,生姜能促进消化液分泌，保护胃黏膜，具有抗溃疡、保肝、利胆、抗炎、解热、抗菌、镇痛、镇吐作用。其醇提物能兴奋血管运动中枢、呼吸中枢、心脏。正常人咀嚼生姜，可升高血压。生姜水浸液对伤寒杆菌、霍乱弧菌、堇色毛癣菌、阴道滴虫均有不同程度的抑杀作用，并有防止血吸虫卵孵化及杀灭血吸虫作用。,附药：生姜皮、生姜汁1.生姜皮本品为姜科植物姜ZingiberofficinaleRosc.的根茎切下的外表皮。性味辛、凉。功能和脾行水消肿，主要用于水肿，小便不利。煎服，3～10g。2.生姜汁本品系用生姜捣汁入药。功同生姜，但偏于开痰止呕，便于临床应急服用。如遇天南星、半夏中毒的喉舌麻木肿痛，或呕逆不止、难以下食者，可取汁冲服，易于入喉；也可配竹沥，冲服或鼻饲给药，治中风卒然昏厥者。用量3～10滴，冲服。
4,解表药,发散风寒药,香薷,《名医别录》）,本品为唇形科植物石香薷或江香薷的干燥地上部分。前者习称“青香薷”，后者习称“江香薷”。青香薷主产于广东、广西、福建；江香薷主产于江西。夏季茎叶茂盛、花盛开时择晴天采割，除去杂质，阴干。切段。本品气清香而浓，味微辛而凉。以穗多、质嫩、叶青绿色、香气浓者为佳。生用。,辛，微温。归肺、脾、胃经。,发汗解表，化湿和中，利水消肿。,"发汗解表,化湿和中,利水消肿",1.外感风寒，内伤暑湿，恶寒发热，头痛无汗，腹痛吐泻本品辛温发散，入肺经能发汗解表而散寒；其气芳香，入于脾胃又能化湿和中而祛暑，多用于暑天感受风寒而兼脾胃湿困，症见恶寒发热，头痛身重，无汗，脘满纳差，腹痛吐泻，苔腻者，可收外解风寒、内化湿浊之功。因该证多见于暑天贪凉饮冷之人，故前人称“香薷乃夏月解表之药”，常配伍厚朴、扁豆，如香薷散（《和剂局方》）。2.水肿，小便不利，脚气浮肿本品辛散温通，外能发汗以散肌表之水湿，又能宣肺气启上源，通畅水道，以利尿退肿，多用于水肿而有表证者。治疗水肿、小便不利以及脚气浮肿者，可单用或与健脾利水的白术、茯苓等药同用。,香薷散,煎服，3～10g。用于发表，量不宜过大，且不宜久煎；用于利水消肿，量宜稍大，且须浓煎。,本品辛温发汗之力较强，表虚有汗及暑热证当忌用。,挥发油有发汗解热作用，能刺激消化腺分泌及胃肠蠕动。挥发油对金黄色葡萄球菌、伤寒杆菌、脑膜炎双球菌等有较强的抑制作用。海州香薷的水煎剂有抗病毒作用。此外，香薷酊剂能刺激肾血管而使肾小球充血，滤过性增大而有利尿作用。,
5,解表药,发散风寒药,荆芥,《神农本草经》）,本品为唇形科植物荆芥的干燥地上部分。主产于江苏、浙江、江西、河北、湖北。多为栽培。夏、秋两季花开到顶、穗绿时采割，除去杂质，晒干。切段。本品气芳香，味微涩而辛凉。以茎细、色紫、穗多、香气浓者为佳。生用。,辛，微温。归肺、肝经。,解表散风，透疹，消疮。,,1.感冒，头痛本品辛散气香，长于发表散风，且微温不烈，药性和缓，为发散风寒药中药性最为平和之品。对于外感表证，无论风寒、风热或寒热不明显者，均可广泛使用。用治风寒感冒，恶寒发热、头痛无汗者，常与防风、羌活、独活等药同用，如荆防败毒散（《摄生众妙方》）；治疗风热感冒，发热头痛者，每与银花、连翘、薄荷等辛凉解表药配伍，如银翘散（《温病条辨》）。2.麻疹不透，风疹瘙痒本品质轻透散，祛风止痒，宣散疹毒。用治表邪外束，麻疹初起、疹出不畅，常与蝉蜕、薄荷、紫草等药同用；若配伍苦参、防风、白蒺藜等药，又治风疹瘙痒。3.疮疡初起本品能祛风解表，透散邪气，宣通壅结而达消疮之功，可用于疮疡初起而有表证者。偏于风寒者，常配伍羌活、川芎、独活等药；偏于风热者，每与金银花、连翘、柴胡等药配伍。,"荆防败毒散,银翘散",煎服，5～10g，不宜久煎。,,荆芥水煎剂可增强皮肤血液循环，增加汗腺分泌，有微弱解热作用。荆芥对金黄色葡萄球菌、白喉杆菌有较强的抑菌作用，对伤寒杆菌、痢疾杆菌、绿脓杆菌和人型结核杆菌均有一定抑制作用。生品不能明显缩短出血时间，而荆芥炭则能使出血时间缩短。荆芥甲醇及醋酸乙酯提取物均有一定的镇痛作用。荆芥对醋酸引起的炎症有明显的抗炎作用，荆芥穗有明显的抗补体作用。,附药：荆芥炭本品为荆芥的炮制加工品。取荆芥段照炒炭法炒至表面焦黑色，内部焦黄色，喷淋清水少许，熄灭火星，取出，晾干。性味辛、涩，微温；归肺、肝经。功能收敛止血。适用于便血、崩漏、产后血晕。煎服，5～10g。
6,解表药,发散风寒药,防风,《神农本草经》）,本品为伞形科植物防风的干燥根。主产于黑龙江、内蒙古、吉林、辽宁。春、秋两季采挖未抽花茎植株的根，除去须根及泥沙，晒干。切厚片。本品气特异，味微甘。以切面皮部色浅棕、木部色黄者为佳。生用。,辛、甘，微温。归膀胱、肝、脾经。,祛风解表，胜湿止痛，止痉。,,1.感冒，头痛本品辛温发散，气味俱升，以辛散祛风解表为主，虽不长于散寒，但又能胜湿、止痛，且甘缓微温不峻烈，故外感风寒、风湿、风热表证均可配伍使用。治风寒表证，头痛身痛、恶风寒者，常配以荆芥、羌活、独活等药同用，如荆防败毒散（《摄生众妙方》）；治外感风湿，头痛如裹、身重肢痛者，每与羌活、藁本、川芎等药同用，如羌活胜湿汤（《内外伤辨惑论》）；治风热感冒，发热恶风、头痛、咽痛口渴者，常配伍薄荷、蝉蜕、连翘等辛凉解表药。又因其发散作用温和，对卫气不足，肌表不固，而外感风邪者，本品与黄芪、白术等益卫固表药同用，相反相成，祛邪而不伤正，固表而不留邪，共奏扶正祛邪之效，如玉屏风散（《丹溪心法》）。2.风湿痹痛本品辛温，功能祛风散寒，胜湿止痛，为较常用之祛风湿、止痹痛药。治疗风寒湿痹，肢节疼痛、筋脉挛急者，可配伍羌活、独活、姜黄等祛风湿、止痹痛药，如蠲痹汤（《医学心悟》）。若风寒湿邪郁而化热，关节红肿热痛，成为热痹者，可与地龙、薏苡仁、乌梢蛇等药同用。3.风疹瘙痒本品辛温发散，能祛风止痒，可以治疗多种皮肤病，其中尤以风邪所致之隐疹瘙痒较为常用。本品以祛风见长，药性平和，风寒、风热所致之隐疹瘙痒皆可配伍使用。治疗风寒者，常与麻黄、白芷、苍耳子等配伍，如消风散《和剂局方》）；治疗风热者，常配伍薄荷、蝉蜕、僵蚕等药；治疗湿热者，可与土茯苓、白鲜皮、赤小豆等同用；若血虚风燥者，常与当归、地黄等配伍，如消风散（《外科正宗》）；若兼里实热结者，常配伍大黄、芒硝、黄芩等药，如防风通圣散（《宣明论方》）。4.破伤风本品既能辛散外风，又能息内风以止痉。用治风毒内侵，贯于经络，引动内风而致肌肉痉挛，四肢抽搐，项背强急，角弓反张的破伤风证，常与天麻、天南星、白附子等祛风止痉药同用，如玉真散（《外科正宗》）。此外，以其升清燥湿之性，亦可用于脾虚湿盛，清阳不升所致的泄泻，可与人参、黄芪、白术等药配伍，如升阳益胃汤（《脾胃论》）。若用于土虚木乘，肝郁侮脾，肝脾不和，腹泻而痛者，常与白术、白芍、陈皮同用，如痛泻要方（《景岳全书》引刘草窗方）。,"荆防败毒散,羌活胜湿汤,玉屏风散,蠲痹汤,消风散,防风通圣散,玉真散,升阳益胃汤,痛泻要方",煎服，5～10g。,本品药性偏温，阴血亏虚及热盛动风者不宜使用。,本品有解热、抗炎、镇静、镇痛、抗惊厥、抗过敏作用。防风新鲜汁对绿脓杆菌和金黄色葡萄球菌有一定抗菌作用，煎剂对痢疾杆菌、溶血性链球菌等有不同程度的抑制作用。并有增强小鼠腹腔巨噬细胞吞噬功能的作用。,
7,解表药,发散风寒药,羌活,《神农本草经》）,本品为伞形科植物羌活或宽叶羌活的干燥根茎及根。主产于四川、甘肃、青海。春、秋两季采挖，除去须根及泥沙，晒干。切片。本品气香，味微苦而辛。以外表皮色棕褐、切面油点多、气味浓者为佳。生用。,辛、苦，温。归膀胱、肾经。,解表散寒，祛风除湿，止痛。,,1.风寒感冒，头痛项强本品辛温发散，气味雄烈，善于升散发表，有较强的解表散寒，祛风胜湿，止痛之功。故外感风寒夹湿，恶寒发热、肌表无汗、头痛项强、肢体酸痛较重者，尤为适宜，常与防风、细辛、川芎等祛风解表止痛药同用，如九味羌活汤（《此事难知》）；若风湿在表，头项强痛，腰背酸重，一身尽痛者，可配伍独活、藁本、防风等药，如羌活胜湿汤（《内外伤辨惑论》）。2.风寒湿痹，肩背酸痛本品辛散祛风、味苦燥湿、性温散寒，有较强的祛风湿、止痛作用，常与其他祛风湿、止痛药配伍，主治风寒湿痹，肢节疼痛。因其善入足太阳膀胱经，以除头项肩背之痛见长，故上半身风寒湿痹、肩背酸痛者尤为多用，常与防风、姜黄、当归等药同用，如蠲痹汤（《百一选方》）。若风寒、风湿所致的头风痛，可与川芎、白芷、藁本等药配伍，如羌活芎藁汤（《审视瑶函》）。,"九味羌活汤,羌活胜湿汤,蠲痹汤,羌活芎藁汤",煎服，3～10g。,本品辛香温燥之性较烈，故阴血亏虚者慎用。用量过多，易致呕吐，脾胃虚弱者不宜服。,羌活有抗炎、镇痛、解热作用，并对皮肤真菌、布氏杆菌有抑制作用。羌活挥发油能对抗垂体后叶素引起的心肌缺血和增加心肌营养性血流量。羌活水溶部分有抗实验性心律失常作用。羌活对小鼠迟发性过敏反应有抑制作用。,
8,解表药,发散风寒药,白芷,《神农本草经》）,本品为伞形科植物白芷或杭白芷的干燥根。主产于浙江、四川、河南、河北。夏、秋间叶黄时采挖，除去须根和泥沙，晒干或低温干燥。切厚片。本品气芳香，味辛，微苦。以粉性足、棕色油点多、香气浓郁者为佳。生用。,辛，温。归肺、胃、大肠经。,解表散寒，祛风止痛，宣通鼻窍，燥湿止带，消肿排脓。,祛风止痛,1.风寒感冒本品辛散温通，祛风解表散寒之力较温和，而以止痛、通鼻窍见长，宜于外感风寒，头身疼痛，鼻塞流涕之证，常与防风、羌活、川芎等祛风散寒止痛药同用，如九味羌活汤（《此事难知》）。2.头痛，眉棱骨痛，牙痛，风湿痹痛本品辛散温通，长于止痛，且善入足阳明胃经，故阳明经头额痛以及牙龈肿痛尤为多用。治疗阳明头痛，眉棱骨痛，头风痛等症，属外感风寒者，可单用，即都梁丸（《百一选方》）；或与防风、细辛、川芎等祛风止痛药同用，如川芎茶调散（《和剂局方》）；属外感风热者，可配伍薄荷、菊花、蔓荆子等药。治疗风冷牙痛，可与细辛、全蝎、川芎等同用，如一捻金散（《御药院方》）；治疗风热牙痛，可配伍蔓荆子、荆芥穗等药。若风寒湿痹，关节疼痛，屈伸不利者，可与苍术、草乌、川芎等药同用。3.鼻鼽，鼻渊，鼻塞流涕本品祛风、散寒、燥湿，可宣利肺气，升阳明清气，通鼻窍而止疼痛，故可用治鼻鼽、鼻渊等鼻科疾病之鼻塞不通，流涕不止，前额疼痛，每与苍耳子、辛夷等散风寒、通鼻窍药同用。4.带下本品辛温香燥，善除阳明经湿邪而燥湿止带。治疗寒湿下注，白带过多者，可与鹿角霜、白术、山药等温阳散寒、健脾除湿药同用；若湿热下注，带下黄赤者，宜与车前子、黄柏等清热利湿、燥湿药同用。5.疮疡肿痛本品辛散温通，对于疮疡初起，红肿热痛者，可收散结消肿止痛之功，每与金银花、当归、穿山甲等药配伍，如仙方活命饮（《校注妇人良方》）；若脓成难溃者，常与人参、黄芪、当归等益气补血药同用，共奏托毒排脓之功，如托里透脓散（《医宗金鉴》）。此外，本品祛风止痒，可用治皮肤风湿瘙痒。,"九味羌活汤,川芎茶调散,一捻金散,仙方活命饮,托里透脓散",煎服，3～10g。外用适量。,本品辛香温燥，阴虚血热者忌服。,小量白芷毒素有兴奋中枢神经、升高血压作用，并能引起流涎呕吐；大量能引起强直性痉挛，续以全身麻痹。白芷能对抗蛇毒所致的中枢神经系统抑制。白芷水煎剂对大肠杆菌、痢疾杆菌、伤寒杆菌、绿脓杆菌、变形杆菌有一定抑制作用；有解热、抗炎、镇痛、解痉、抗癌作用。异欧前胡素等成分有降血压作用。呋喃香豆素类化合物为“光活性物质”，可用以治疗白癜风及银屑病。水浸剂对奥杜盎小芽孢癣菌等致病真菌有一定抑制作用。,
9,解表药,发散风寒药,细辛,《神农本草经》）,本品为马兜铃科植物北细辛、汉城细辛或华细辛的干燥根和根茎。前两种习称“辽细辛”，主产于辽宁、吉林、黑龙江；后一种习称华细辛，主产于陕西。夏季果熟期或初秋采挖，除净地上部分和泥沙，阴干。切段。本品气辛香，味辛辣、麻舌。均以根灰黄，干燥，味辛辣而麻舌者为佳。生用。,辛，温。归心、肺、肾经。,解表散寒，祛风止痛，通窍，温肺化饮。,"祛风止痛,温肺化饮",1.风寒感冒本品辛温发散，芳香透达，入肺经长于解表散寒，祛风止痛，宜于外感风寒，头身疼痛较甚者，常与羌活、防风、白芷等祛风止痛药同用，如九味羌活汤（《此事难知》）；因其既能散风寒，又能通鼻窍，并宜于风寒感冒而见鼻塞流涕者，常配伍白芷、苍耳子等药。且细辛既入肺经散在表之风寒，又入肾经而除在里之寒邪，配麻黄、附子，可治阳虚外感，恶寒发热、无汗、脉反沉者，如麻黄附子细辛汤（《伤寒论》）。2.头痛，牙痛，风湿痹痛本品辛香走窜，宣泄郁滞，上达巅顶，通利九窍，善于祛风散寒，且止痛之力颇强，尤宜于风寒头痛、牙痛、痹痛等多种寒痛证。治疗少阴头痛，足寒气逆，脉象沉细者，常配伍独活、川芎等药，如独活细辛汤（《证因脉治》）；用治外感风邪，偏正头痛，常与川芎、白芷、羌活同用，如川芎茶调散（《和剂局方》）；若治痛则如破，脉微弦而紧的风冷头痛，可配伍川芎、麻黄、附子等药。治疗风冷牙痛，可单用细辛或与白芷、荜茇煎汤含漱；若胃火牙痛者，又当配伍生石膏、黄连、升麻等清胃泻火药；若龋齿牙痛者，可配杀虫止痛之蜂房煎汤含漱；细辛既散少阴肾经在里之寒邪以通阳散结，又搜筋骨间的风湿而蠲痹止痛，故常配伍独活、桑寄生、防风等以治风寒湿痹，腰膝冷痛，如独活寄生汤（《千金要方》）。3.鼻鼽，鼻渊，鼻塞流涕本品辛散温通，芳香透达，散风邪，化湿浊，通鼻窍，常用治鼻鼽鼻渊等鼻科疾病之鼻塞、流涕、头痛者，为治鼻鼽鼻渊之良药，宜与白芷、苍耳子、辛夷等散风寒、通鼻窍药配伍。4.寒痰停饮，气逆咳喘本品辛散温通，外能发散风寒，内能温肺化饮，常与散寒宣肺、温化痰饮药同用，以主治风寒咳喘证，或寒饮咳喘证。治疗外感风寒，水饮内停之恶寒发热，无汗，喘咳，痰多清稀者，常与麻黄、桂枝、干姜等同用，如小青龙汤（《伤寒论》）；若纯系寒痰停饮射肺，咳嗽胸满，气逆喘急者，可配伍茯苓、干姜、五味子等药，如苓甘五味姜辛汤（《金匮要略》）。此外，本品辛温行散，芳香透达，研末吹鼻取嚏，有通关开窍醒神之功，故可用治中恶或痰厥所致卒然口噤气塞、昏不知人、面色苍白、牙关紧闭之神昏窍闭证，常与皂荚共研末为散，如通关散（《丹溪心法附余》）。,"九味羌活汤,独活细辛汤,川芎茶调散,独活寄生汤,小青龙汤,通关散",煎服，1～3g；散剂每次服0.5～1g。外用适量。,本品辛香温散，故气虚多汗、阴虚阳亢头痛、阴虚燥咳或肺热咳嗽者忌用。不宜与藜芦同用。用量不宜过大，素有“细辛用量不过钱”之说，《本草别说》谓“细辛若单用末，不可过半钱匕，多则气闷塞，不通者死。”,细辛挥发油具有解热、镇静、镇痛、抗炎、表面麻醉及浸润麻醉作用。细辛水及醇提取物可使速发型变态反应过敏介质释放量减少40%以上。细辛大剂量挥发油可使中枢神经系统先兴奋后抑制，显示一定毒副作用。体外实验显示细辛挥发油对革兰阳性菌、枯草杆菌、伤寒杆菌及多种真菌有一定抑制作用。华细辛醇浸剂可对抗吗啡所致的呼吸抑制。此外，细辛有强心、扩张血管、松弛平滑肌、增强脂质代谢、升高血糖等作用，对细胞免疫、体液免疫均有抑制作用。3.不良反应大剂量细辛挥发油可使中枢神经系统先兴奋后抑制，使随意运动和呼吸减慢，反射消失，最后因呼吸麻痹而死亡。另外，细辛对于心肌有直接抑制作用，过量使用可引起心律失常。中毒时主要表现为头痛、呕吐、烦躁、出汗、颈项强直、口渴、体温及血压升高、瞳孔轻度散大、面色潮红等，如不及时治疗，可迅速转入痉挛状态，牙关紧闭，角弓反张，意识不清，四肢抽搐，尿闭，最后死于呼吸麻痹。细辛中毒的主要原因：一是直接吞服单方的散剂用量过大，二是较大剂量入汤剂煎煮时间过短。所以必须严格按照规定的用法用量使用，方能保证用药安全。,
